date,daily_new,log_daily_new
16/2/2020,1,0
17/2/2020,3,0.477121255
18/2/2020,2,0.301029996
19/2/2020,3,0.477121255
20/2/2020,4,0.602059991
21/2/2020,0,0.00001
22/2/2020,1,0
23/2/2020,4,0.602059991
24/2/2020,7,0.84509804
25/2/2020,4,0.602059991
26/2/2020,4,0.602059991
27/2/2020,3,0.477121255
28/2/2020,1,0
29/2/2020,2,0.301029996
1/3/2020,5,0.698970004
2/3/2020,0,0.00001
3/3/2020,1,0
4/3/2020,2,0.301029996
5/3/2020,2,0.301029996
6/3/2020,3,0.477121255
7/3/2020,0,0.00001
8/3/2020,7,0.84509804
9/3/2020,1,0
10/3/2020,5,0.698970004
11/3/2020,9,0.954242509
12/3/2020,1,0
13/3/2020,1,0
14/3/2020,10,1
15/3/2020,7,0.84509804
16/3/2020,6,0.77815125
17/3/2020,13,1.113943352
18/3/2020,25,1.397940009
19/3/2020,15,1.176091259
20/3/2020,48,1.681241237
21/3/2020,18,1.255272505
22/3/2020,44,1.643452676
23/3/2020,39,1.591064607
24/3/2020,30,1.477121255
25/3/2020,24,1.380211242
26/3/2020,43,1.633468456
27/3/2020,65,1.812913357
28/3/2020,41,1.612783857
29/3/2020,82,1.913813852
30/3/2020,41,1.612783857
31/3/2020,32,1.505149978
1/4/2020,51,1.707570176
2/4/2020,36,1.556302501
3/4/2020,43,1.633468456
4/4/2020,17,1.230448921
5/4/2020,29,1.462397998
6/4/2020,24,1.380211242
7/4/2020,21,1.322219295
8/4/2020,25,1.397940009
9/4/2020,13,1.113943352
10/4/2020,16,1.204119983
11/4/2020,11,1.041392685
12/4/2020,4,0.602059991
13/4/2020,5,0.698970004
14/4/2020,3,0.477121255
15/4/2020,4,0.602059991
16/4/2020,1,0
17/4/2020,4,0.602059991
18/4/2020,2,0.301029996
19/4/2020,2,0.301029996
20/4/2020,0,0.00001
21/4/2020,4,0.602059991
22/4/2020,4,0.602059991
23/4/2020,2,0.301029996
24/4/2020,0,0.00001
25/4/2020,2,0.301029996
26/4/2020,0,0.00001
27/4/2020,0,0.00001
28/4/2020,0,0.00001
29/4/2020,0,0.00001
30/4/2020,0,0.00001
1/5/2020,2,0.301029996
2/5/2020,0,0.00001
3/5/2020,0,0.00001
4/5/2020,1,0
5/5/2020,0,0.00001
6/5/2020,0,0.00001
7/5/2020,4,0.602059991
8/5/2020,0,0.00001
9/5/2020,0,0.00001
10/5/2020,3,0.477121255
11/5/2020,0,0.00001
12/5/2020,0,0.00001
13/5/2020,3,0.477121255
14/5/2020,1,0
15/5/2020,1,0
16/5/2020,0,0.00001
17/5/2020,3,0.477121255
18/5/2020,0,0.00001
19/5/2020,0,0.00001
20/5/2020,0,0.00001
21/5/2020,8,0.903089987
22/5/2020,2,0.301029996
23/5/2020,0,0.00001
24/5/2020,0,0.00001
25/5/2020,0,0.00001
26/5/2020,0,0.00001
27/5/2020,1,0
28/5/2020,0,0.00001
29/5/2020,13,1.113943352
30/5/2020,3,0.477121255
31/5/2020,2,0.301029996
1/6/2020,3,0.477121255
2/6/2020,6,0.77815125
3/6/2020,0,0.00001
4/6/2020,5,0.698970004
5/6/2020,4,0.602059991
6/6/2020,3,0.477121255
7/6/2020,1,0
8/6/2020,1,0
9/6/2020,0,0.00001
10/6/2020,0,0.00001
11/6/2020,0,0.00001
12/6/2020,1,0
13/6/2020,1,0
14/6/2020,0,0.00001
15/6/2020,3,0.477121255
16/6/2020,0,0.00001
17/6/2020,8,0.903089987
18/6/2020,4,0.602059991
19/6/2020,3,0.477121255
20/6/2020,1,0
21/6/2020,3,0.477121255
22/6/2020,30,1.477121255
23/6/2020,16,1.204119983
24/6/2020,2,0.301029996
25/6/2020,14,1.146128036
26/6/2020,3,0.477121255
27/6/2020,1,0
28/6/2020,2,0.301029996
29/6/2020,4,0.602059991
30/6/2020,2,0.301029996
1/7/2020,28,1.447158031
2/7/2020,9,0.954242509
3/7/2020,5,0.698970004
4/7/2020,11,1.041392685
5/7/2020,10,1
6/7/2020,17,1.230448921
7/7/2020,14,1.146128036
8/7/2020,24,1.380211242
9/7/2020,42,1.62324929
10/7/2020,38,1.579783597
11/7/2020,29,1.462397998
12/7/2020,37,1.568201724
13/7/2020,52,1.716003344
14/7/2020,48,1.681241237
15/7/2020,19,1.278753601
16/7/2020,67,1.826074803
17/7/2020,58,1.763427994
18/7/2020,64,1.806179974
19/7/2020,108,2.033423755
